净值日期,净值日期,单位净值,日增长率
2011-07-27,2011-07-27,1.0,0.0
2011-07-29,2011-07-29,0.9999,-0.01
2011-08-05,2011-08-05,1.0005,0.06
2011-08-12,2011-08-12,1.0089,0.8396
2011-08-19,2011-08-19,1.0023,-0.6542
2011-08-26,2011-08-26,1.0066,0.429
2011-09-02,2011-09-02,0.9889,-1.7584
2011-09-09,2011-09-09,0.9779,-1.1123
2011-09-16,2011-09-16,0.98,0.2147
2011-09-23,2011-09-23,0.9702,-1.0
2011-09-30,2011-09-30,0.9508,-1.9996
2011-10-14,2011-10-14,0.9591,0.8729
2011-10-21,2011-10-21,0.922,-3.8682
2011-10-25,2011-10-25,0.9451,2.5054
2011-10-26,2011-10-26,0.9507,0.5925
2011-10-27,2011-10-27,0.9483,-0.2524
2011-10-28,2011-10-28,0.96,1.2338
2011-10-31,2011-10-31,0.9676,0.7917
2011-11-01,2011-11-01,0.9738,0.6408
2011-11-02,2011-11-02,0.9972,2.403
2011-11-03,2011-11-03,0.9974,0.0201
2011-11-04,2011-11-04,1.0002,0.2807
2011-11-07,2011-11-07,0.9954,-0.4799
2011-11-08,2011-11-08,0.9831,-1.2357
2011-11-09,2011-11-09,0.999,1.6173
2011-11-10,2011-11-10,0.9954,-0.3604
2011-11-11,2011-11-11,0.9935,-0.1909
2011-11-14,2011-11-14,1.0118,1.842
2011-11-15,2011-11-15,1.0164,0.4546
2011-11-16,2011-11-16,0.991,-2.499
2011-11-17,2011-11-17,0.9914,0.0404
2011-11-18,2011-11-18,0.9713,-2.0274
2011-11-21,2011-11-21,0.9702,-0.1133
2011-11-22,2011-11-22,0.974,0.3917
2011-11-23,2011-11-23,0.9718,-0.2259
2011-11-24,2011-11-24,0.9769,0.5248
2011-11-25,2011-11-25,0.9725,-0.4504
2011-11-28,2011-11-28,0.9729,0.0411
2011-11-29,2011-11-29,0.9829,1.0279
2011-11-30,2011-11-30,0.9547,-2.8691
2011-12-01,2011-12-01,0.9704,1.6445
2011-12-02,2011-12-02,0.9556,-1.5251
2011-12-05,2011-12-05,0.9285,-2.8359
2011-12-06,2011-12-06,0.9311,0.28
2011-12-07,2011-12-07,0.9386,0.8055
2011-12-08,2011-12-08,0.9391,0.0533
2011-12-09,2011-12-09,0.934,-0.5431
2011-12-12,2011-12-12,0.9257,-0.8887
2011-12-13,2011-12-13,0.905,-2.2361
2011-12-14,2011-12-14,0.8929,-1.337
2011-12-15,2011-12-15,0.8786,-1.6015
2011-12-16,2011-12-16,0.9017,2.6292
2011-12-19,2011-12-19,0.9078,0.6765
2011-12-20,2011-12-20,0.9056,-0.2423
2011-12-21,2011-12-21,0.8897,-1.7557
2011-12-22,2011-12-22,0.8872,-0.281
2011-12-23,2011-12-23,0.891,0.4283
2011-12-26,2011-12-26,0.8817,-1.0438
2011-12-27,2011-12-27,0.866,-1.7807
2011-12-28,2011-12-28,0.8618,-0.485
2011-12-29,2011-12-29,0.8674,0.6498
2011-12-30,2011-12-30,0.8777,1.1875
2011-12-31,2011-12-31,0.8777,0.0
2012-01-04,2012-01-04,0.8536,-2.7458
2012-01-05,2012-01-05,0.8188,-4.0769
2012-01-06,2012-01-06,0.8152,-0.4397
2012-01-09,2012-01-09,0.8325,2.1222
2012-01-10,2012-01-10,0.8564,2.8709
2012-01-11,2012-01-11,0.8572,0.0934
2012-01-12,2012-01-12,0.8458,-1.3299
2012-01-13,2012-01-13,0.814,-3.7598
2012-01-16,2012-01-16,0.7838,-3.7101
2012-01-17,2012-01-17,0.8081,3.1003
2012-01-18,2012-01-18,0.7815,-3.2917
2012-01-19,2012-01-19,0.7874,0.755
2012-01-20,2012-01-20,0.8053,2.2733
2012-01-30,2012-01-30,0.7994,-0.7326
2012-01-31,2012-01-31,0.7981,-0.1626
2012-02-01,2012-02-01,0.7969,-0.1504
2012-02-02,2012-02-02,0.8095,1.5811
2012-02-03,2012-02-03,0.8212,1.4453
2012-02-06,2012-02-06,0.8293,0.9864
2012-02-07,2012-02-07,0.8197,-1.1576
2012-02-08,2012-02-08,0.8337,1.7079
2012-02-09,2012-02-09,0.8392,0.6597
2012-02-10,2012-02-10,0.8394,0.0238
2012-02-13,2012-02-13,0.8464,0.8339
2012-02-14,2012-02-14,0.8448,-0.189
2012-02-15,2012-02-15,0.8546,1.16
2012-02-16,2012-02-16,0.8531,-0.1755
2012-02-17,2012-02-17,0.8481,-0.5861
2012-02-20,2012-02-20,0.8527,0.5424
2012-02-21,2012-02-21,0.8632,1.2314
2012-02-22,2012-02-22,0.8787,1.7956
2012-02-23,2012-02-23,0.8747,-0.4552
2012-02-24,2012-02-24,0.8787,0.4573
2012-02-27,2012-02-27,0.8819,0.3642
2012-02-28,2012-02-28,0.8749,-0.7937
2012-02-29,2012-02-29,0.8651,-1.1201
2012-03-01,2012-03-01,0.8694,0.4971
2012-03-02,2012-03-02,0.8825,1.5068
2012-03-05,2012-03-05,0.8801,-0.272
2012-03-06,2012-03-06,0.8763,-0.4318
2012-03-07,2012-03-07,0.8714,-0.5592
2012-03-08,2012-03-08,0.8797,0.9525
2012-03-09,2012-03-09,0.8901,1.1822
2012-03-12,2012-03-12,0.8939,0.4269
2012-03-13,2012-03-13,0.9011,0.8055
2012-03-14,2012-03-14,0.8721,-3.2183
2012-03-15,2012-03-15,0.8737,0.1835
2012-03-16,2012-03-16,0.892,2.0945
2012-03-19,2012-03-19,0.895,0.3363
2012-03-20,2012-03-20,0.8751,-2.2235
2012-03-21,2012-03-21,0.8684,-0.7656
2012-03-22,2012-03-22,0.8632,-0.5988
2012-03-23,2012-03-23,0.8521,-1.2859
2012-03-26,2012-03-26,0.8518,-0.0352
2012-03-27,2012-03-27,0.8509,-0.1057
2012-03-28,2012-03-28,0.8239,-3.1731
2012-03-29,2012-03-29,0.816,-0.9589
2012-03-30,2012-03-30,0.8208,0.5882
2012-03-31,2012-03-31,0.8208,0.0
2012-04-05,2012-04-05,0.8406,2.4123
2012-04-06,2012-04-06,0.8403,-0.0357
2012-04-09,2012-04-09,0.8339,-0.7616
2012-04-10,2012-04-10,0.836,0.2518
2012-04-11,2012-04-11,0.8347,-0.1555
2012-04-12,2012-04-12,0.8472,1.4975
2012-04-13,2012-04-13,0.8494,0.2597
2012-04-16,2012-04-16,0.849,-0.0471
2012-04-17,2012-04-17,0.8399,-1.0718
2012-04-18,2012-04-18,0.8514,1.3692
2012-04-19,2012-04-19,0.8511,-0.0352
2012-04-20,2012-04-20,0.8572,0.7167
2012-04-23,2012-04-23,0.8453,-1.3882
2012-04-24,2012-04-24,0.8392,-0.7216
2012-04-25,2012-04-25,0.8383,-0.1072
2012-04-26,2012-04-26,0.8319,-0.7634
2012-04-27,2012-04-27,0.8314,-0.0601
2012-05-02,2012-05-02,0.8439,1.5035
2012-05-03,2012-05-03,0.8507,0.8058
2012-05-04,2012-05-04,0.8609,1.199
2012-05-07,2012-05-07,0.8676,0.7783
2012-05-08,2012-05-08,0.8658,-0.2075
2012-05-09,2012-05-09,0.8553,-1.2128
2012-05-10,2012-05-10,0.8586,0.3858
2012-05-11,2012-05-11,0.8515,-0.8269
2012-05-14,2012-05-14,0.8452,-0.7399
2012-05-15,2012-05-15,0.8524,0.8519
2012-05-16,2012-05-16,0.8406,-1.3843
2012-05-17,2012-05-17,0.8501,1.1301
2012-05-18,2012-05-18,0.8393,-1.2704
2012-05-21,2012-05-21,0.8394,0.0119
2012-05-22,2012-05-22,0.8486,1.096
2012-05-23,2012-05-23,0.8476,-0.1178
2012-05-24,2012-05-24,0.844,-0.4247
2012-05-25,2012-05-25,0.8306,-1.5877
2012-05-28,2012-05-28,0.8361,0.6622
2012-05-29,2012-05-29,0.8487,1.507
2012-05-30,2012-05-30,0.848,-0.0825
2012-05-31,2012-05-31,0.8554,0.8726
2012-06-01,2012-06-01,0.8575,0.2455
2012-06-04,2012-06-04,0.8419,-1.8192
2012-06-05,2012-06-05,0.8405,-0.1663
2012-06-06,2012-06-06,0.8371,-0.4045
2012-06-07,2012-06-07,0.8327,-0.5256
2012-06-08,2012-06-08,0.8333,0.0721
2012-06-11,2012-06-11,0.85,2.0041
2012-06-12,2012-06-12,0.8485,-0.1765
2012-06-13,2012-06-13,0.8607,1.4378
2012-06-14,2012-06-14,0.8595,-0.1394
2012-06-15,2012-06-15,0.8562,-0.3839
2012-06-18,2012-06-18,0.8622,0.7008
2012-06-19,2012-06-19,0.8599,-0.2668
2012-06-20,2012-06-20,0.8582,-0.1977
2012-06-21,2012-06-21,0.8489,-1.0837
2012-06-25,2012-06-25,0.838,-1.284
2012-06-26,2012-06-26,0.8374,-0.0716
2012-06-27,2012-06-27,0.8471,1.1583
2012-06-28,2012-06-28,0.8464,-0.0826
2012-06-29,2012-06-29,0.8543,0.9334
2012-06-30,2012-06-30,0.8542,-0.0117
2012-07-02,2012-07-02,0.8653,1.2995
2012-07-03,2012-07-03,0.8669,0.1849
2012-07-04,2012-07-04,0.8587,-0.9459
2012-07-05,2012-07-05,0.8532,-0.6405
2012-07-06,2012-07-06,0.8674,1.6643
2012-07-09,2012-07-09,0.8642,-0.3689
2012-07-10,2012-07-10,0.8551,-1.053
2012-07-11,2012-07-11,0.8584,0.3859
2012-07-12,2012-07-12,0.8674,1.0485
2012-07-13,2012-07-13,0.8657,-0.196
2012-07-16,2012-07-16,0.8421,-2.7261
2012-07-17,2012-07-17,0.8465,0.5225
2012-07-18,2012-07-18,0.841,-0.6497
2012-07-19,2012-07-19,0.8504,1.1177
2012-07-20,2012-07-20,0.8536,0.3763
2012-07-23,2012-07-23,0.8501,-0.41
2012-07-24,2012-07-24,0.8575,0.8705
2012-07-25,2012-07-25,0.8597,0.2566
2012-07-26,2012-07-26,0.8601,0.0465
2012-07-27,2012-07-27,0.8498,-1.1975
2012-07-30,2012-07-30,0.8409,-1.0473
2012-07-31,2012-07-31,0.8375,-0.4043
2012-08-01,2012-08-01,0.8495,1.4328
2012-08-02,2012-08-02,0.8548,0.6239
2012-08-03,2012-08-03,0.8713,1.9303
2012-08-06,2012-08-06,0.8877,1.8822
2012-08-07,2012-08-07,0.8917,0.4506
2012-08-08,2012-08-08,0.883,-0.9757
2012-08-09,2012-08-09,0.9036,2.333
2012-08-10,2012-08-10,0.9049,0.1439
2012-08-13,2012-08-13,0.8927,-1.3482
2012-08-14,2012-08-14,0.8863,-0.7169
2012-08-15,2012-08-15,0.8906,0.4852
2012-08-16,2012-08-16,0.8831,-0.8421
2012-08-17,2012-08-17,0.8779,-0.5888
2012-08-20,2012-08-20,0.8827,0.5468
2012-08-21,2012-08-21,0.8998,1.9372
2012-08-22,2012-08-22,0.9021,0.2556
2012-08-23,2012-08-23,0.9025,0.0443
2012-08-24,2012-08-24,0.8907,-1.3075
2012-08-27,2012-08-27,0.8747,-1.7963
2012-08-28,2012-08-28,0.8777,0.343
2012-08-29,2012-08-29,0.8765,-0.1367
2012-08-30,2012-08-30,0.8614,-1.7228
2012-08-31,2012-08-31,0.8637,0.267
2012-09-03,2012-09-03,0.8819,2.1072
2012-09-04,2012-09-04,0.8787,-0.3629
2012-09-05,2012-09-05,0.8848,0.6942
2012-09-06,2012-09-06,0.8877,0.3278
2012-09-07,2012-09-07,0.9075,2.2305
2012-09-10,2012-09-10,0.9047,-0.3085
2012-09-11,2012-09-11,0.9025,-0.2432
2012-09-12,2012-09-12,0.9022,-0.0332
2012-09-13,2012-09-13,0.8948,-0.8202
2012-09-14,2012-09-14,0.8896,-0.5811
2012-09-17,2012-09-17,0.8754,-1.5962
2012-09-18,2012-09-18,0.8734,-0.2285
2012-09-19,2012-09-19,0.8785,0.5839
2012-09-20,2012-09-20,0.8588,-2.2425
