净值日期,净值日期,单位净值,日增长率
2011-07-13,2011-07-13,1.0,0.0
2011-07-15,2011-07-15,1.0,0.0
2011-07-22,2011-07-22,0.998,-0.2
2011-07-29,2011-07-29,0.997,-0.1002
2011-08-05,2011-08-05,1.0,0.3009
2011-08-12,2011-08-12,1.018,1.8
2011-08-19,2011-08-19,1.004,-1.3752
2011-08-26,2011-08-26,1.012,0.7968
2011-09-02,2011-09-02,0.992,-1.9763
2011-09-09,2011-09-09,0.979,-1.3105
2011-09-16,2011-09-16,0.976,-0.3064
2011-09-23,2011-09-23,0.962,-1.4344
2011-09-30,2011-09-30,0.945,-1.7672
2011-10-11,2011-10-11,0.934,-1.164
2011-10-12,2011-10-12,0.945,1.1777
2011-10-13,2011-10-13,0.949,0.4233
2011-10-14,2011-10-14,0.944,-0.5269
2011-10-17,2011-10-17,0.944,0.0
2011-10-18,2011-10-18,0.937,-0.7415
2011-10-19,2011-10-19,0.928,-0.9605
2011-10-20,2011-10-20,0.915,-1.4009
2011-10-21,2011-10-21,0.909,-0.6557
2011-10-24,2011-10-24,0.915,0.6601
2011-10-25,2011-10-25,0.926,1.2022
2011-10-26,2011-10-26,0.934,0.8639
2011-10-27,2011-10-27,0.933,-0.1071
2011-10-28,2011-10-28,0.939,0.6431
2011-10-31,2011-10-31,0.944,0.5325
2011-11-01,2011-11-01,0.946,0.2119
2011-11-02,2011-11-02,0.957,1.1628
2011-11-03,2011-11-03,0.959,0.209
2011-11-04,2011-11-04,0.96,0.1043
2011-11-07,2011-11-07,0.955,-0.5208
2011-11-08,2011-11-08,0.95,-0.5236
2011-11-09,2011-11-09,0.958,0.8421
2011-11-10,2011-11-10,0.96,0.2088
2011-11-11,2011-11-11,0.957,-0.3125
2011-11-14,2011-11-14,0.967,1.0449
2011-11-15,2011-11-15,0.967,0.0
2011-11-16,2011-11-16,0.953,-1.4478
2011-11-17,2011-11-17,0.953,0.0
2011-11-18,2011-11-18,0.94,-1.3641
2011-11-21,2011-11-21,0.938,-0.2128
2011-11-22,2011-11-22,0.94,0.2132
2011-11-23,2011-11-23,0.941,0.1064
2011-11-24,2011-11-24,0.947,0.6376
2011-11-25,2011-11-25,0.946,-0.1056
2011-11-28,2011-11-28,0.949,0.3171
